Directory,Org/Person Name,Org/Person DBA,Org/Person Sort Name,Org Number,Status,Organization/Person Type,Org/Person Main Category,Listing Type,Employer,Org ID,Listing ID,Listing Comments,Listing Internet Comments,Same As Listing Comments,Listing Category,Listing Address 1,Listing Address 2,Listing Address 3,Listing Zip/Postal Code,Listing City,Listing State/Province,Listing Country,Listing Phone 1,Listing Phone 1 Ext,Listing Fax,Listing Fax Ext,Listing Fax Long Distance,Listing Toll,Listing Toll Ext,Listing Url,Listing Email,Listing Facebook,Listing Twitter,Listing Linked In,Mailing Address 1,Mailing Address 2,Mailing Address 3,Mailing Zip/Postal,Mailing City,Mailing State/Province,Mailing Country,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Org/Person NAICS,Sponsor,Total Employees,Total Part Time Employees,Total Full Time Employees,Joined Date,Began Business Date,Org/Person Group Insurance,Org/Person Effective Date,Org/Person Group Term Date,Org/Person Branch,Org/Person Type of Business,Org/Person Board Approval Date,Org/Person New Member Pkg. Mailed,Org/Person Appeared in Briefs,Org/Person Merchant Services,Org/Person Confirmation Date,Org/Person Main reason for joining,Org/Person Main reason for joining,Org/Person Conf. Date,Org/Person Home Insurance,Org/Person Home Effective Date,Org/Person Home Term Date,Org/Person Esso Account #,Org/Person Auto Insurance,Org/Person Auto Effective Date,Org/Person Auto Term Date,Org/Person Welcome Email Sent,Org/Person FIRM #/name,Org/Person Petro Account #,Org/Person Logo Use,Org/Person Reps,Person/Employee Chair Term,Organization Sector,Organization Business Type,Organization Member Type,Organization Dues Category,Organization Designated Reps,Organization Program(s),Person/Employee Status,Person/Employee Level,Person/Employee Designation,Main Contact Prefix,Main Contact First Name,Main Contact Initial,Main Contact Last Name,Main Contact Suffix,Main Contact Title,Main Contact Position,Main Contact Email,Main Contact Salutation,Main Contact Formal Salutation,Special Offer,Special Offer Expires,Special Offer Begin,Special Offer End,Main Listing Contact Prefix,Main Listing Contact First Name,Main Listing Contact Initial,Main Listing Contact Last Name,Main Listing Contact Suffix,Main Listing Contact Title,Main Listing Contact Position,Main Listing Contact Comments,Main Listing Contact Internet Comments,Main Listing Contact Same As Comments,Main Listing Contact Category,Main Listing Contact Address 1,Main Listing Contact Address 2,Main Listing Contact Address 3,Main Listing Contact Zip/Postal Code,Main Listing Contact City,Main Listing Contact State/Province,Main Listing Contact Country,Main Listing Contact Phone 1,Main Listing Contact Phone 1 Ext,Main Listing Contact Fax,Main Listing Contact Fax Ext,Main Listing Contact Fax Long Distance,Main Listing Contact Toll,Main Listing Contact Toll Ext,Main Listing Contact Url,Main Listing Contact Email,Main Listing Contact Facebook,Main Listing Contact Twitter,Main Listing Contact Linked In,Main Listing Contact Org ID,Main Listing Contact Listing ID,OrgCnt,CatCnt
Temporary Directory,Académie Ste Cécile International School,Académie Ste Cécile International School,Académie Ste Cécile International School,2786,Active,Member,Education,Org,,2920,11569,,,Y,Education,925 Cousineau Road,,,N9G 1V8,Windsor,Ontario,Canada,(519) 969-1291,,(519) 969-7953,,N,,,http://www.stececile.ca,info@stececile.ca,,,,925 Cousineau Road,,,N9G 1V8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,103,60,3/23/1999,1/1/1993,,,,,,,,,,06/29/2001 faxed letter to Tanya at 416-364-2578,,,,,,,,,,,,,,,0,,Professional,Corporation,Organization,Non Profit/Charity,One,Office Supplies,,,,Ms.,Therese,H.,Gadoury,,Principal/Directrice,DESIGNATED VOTING REP.,info@stececile.ca,Therese,,,N,,,Ms.,Therese,H.,Gadoury,,Principal/Directrice,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Temporary Directory,AccountAbility Bookkeeping,AccountAbility Bookkeeping,AccountAbility Bookkeeping,3871,Active,Member,Bookkeeping,Org,,4285,12564,,,Y,Accountants,9750 Beachdale Rd.,,,N8R 1S3,Windsor,Ontario,Canada,(519) 979-5375,,(519) 979-6505,,N,,,http://www.accountabilitybookkeeping.ca,lbaker@aability.net,,,,9750 Beachdale Rd.,,,N8R 1S3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,6/25/2003,3/1/1999,70365 - John Merwin,Nov-07,,,,,,,,,,,,,,,,,,,,,,,0,,Professional,Partnership,General,A (1-5 employees),One,"Group Benefits - Merwin, TD Merchant Services",,,,Mrs.,Lois,,Baker,,Owner,DESIGNATED VOTING REP.,lbaker@aability.net,Lois,,,N,,,Mrs.,Lois,,Baker,,Owner,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,12,
Temporary Directory,Accu-Label Inc.,Accu-Label Inc.,Accu-Label Inc.,5194,Active Branch,Member,Printers - Labels/Bar Codes,Org,,6190,13763,,,Y,Printers - Labels/Bar Codes,439 Silver Creek Industrial Dr.,,,N8N 4W2,Lakeshore,Ontario,Canada,(519) 727-0888,,(519) 727-0999,,N,,,http://www.accu-label.com,samia@ag-tronic.com,,,,439 Silver Creek Industrial Dr.,,,N8N 4W2,Lakeshore,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,6,4/12/2013,,,,,,Corporation,"Dec 15/08, April 29 2013",Dec 19/08,July/August 2013,,,"Marketing/Advertising, Networking",,,,,,,,,,April 30 2013,,,,0,,Manufacturing,Corporation,General,Branch,One,,,,,Mr.,Joseph,,Sleiman,,President,DESIGNATED VOTING REP.,joe@accu-label.com,Joe,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
Temporary Directory,Accurate Plumbing,Accurate Plumbing,Accurate Plumbing,3035,Active,Member,Plumbing Contractors,Org,,3224,11715,,,Y,Plumbing Contractors,825 Tecumseh Road West,,,N8X 1H4,Windsor,Ontario,Canada,(519) 253-4445,,(519) 253-5657,,N,,,,,,,,825 Tecumseh Road West,,,N8X 1H4,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2/28/2000,7/1/1983,39689 - David Seeley,Apr-00,,,,,N,N,N,N,,,,,,,,,,,,,,,0,,Service sector,,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,Nenad,,Jokic,,President/Owner,DESIGNATED VOTING REP.,,Nenad,,,N,,,Mr.,Nenad,,Jokic,,President/Owner,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,14,
Temporary Directory,Accu-Staff Resource Systems Ltd.,Accu-Staff Resource Systems,Accu-Staff Resource Systems,2672,Active,Member,Employment Agencies,Org,,2672,11518,,,Y,Employment Agencies,3585 Rhodes Drive,Unit A-1,,N8W 5B3,Windsor,Ontario,Canada,(519) 974-8888,,(519) 974-6167,,N,,,http://www.accu-staff.com,windsor@accu-staff.com,,,,3585 Rhodes Drive,Unit A-1,,N8W 5B3,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,10/9/1998,1/1/1990,,,,,,,N,N,N,N,,,,,,,,,,,,,,,0,,Service sector,Corporation,General,A (1-5 employees),One,Office Supplies,,,,Ms.,Debbie,,Chambers,,Bookkeeper,DESIGNATED VOTING REP.,debc@accu-staff.com,,,,N,,,Ms.,Debbie,,Chambers,,Bookkeeper,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,15,
Temporary Directory,Acklands Grainger Inc.,Acklands Grainger Inc.,Acklands Grainger Inc.,3383,Active,Member,Industrial Equipment & Supplies,Org,,3686,12024,,,Y,Industrial Equipment & Supplies,3350 North Talbot Road,,,N0R 1L0,Oldcastle,Ontario,Canada,(519) 737-7771,,(519) 737-1109,,N,(800) 345-4951,,http://www.acklandsgrainger.com,greenwoodmi@agi.ca,,,,3350 North Talbot Road,,,N0R 1L0,Oldcastle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,6,4/1/2009,01/01/1889,,,,,Corporation,Apr 27/09,May 12/09,N,N,N,,,,,,,,,,,May 01/09,,,,0,,Retail - Trade,Corporation,General,B (6-15 employees),One,,,,,Mr.,Michael,,Greenwood,,Branch Manager,DESIGNATED VOTING REP.,greenwoodmi@agi.ca,Tom,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
Temporary Directory,Sherri & JP Chartrand Physiotherapy Professional Corporation,Active Body Physical Therapy,Active Body Physical Therapy,5395,Active,Member,Physiotherapists,Org,,6882,14061,,,Y,Physiotherapists,"480 Advance Boulevard, Unit 280",,,N8N 0B7,Tecumseh,Ontario,Canada,(519) 727-4455,,(519) 727-8898,,N,,,http://www.activebodytherapy.com,info@activebodytherapy.com,,,,"1775 Sprucewood Avenue, Unit 8",,,N9J 1X7,LaSalle,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,1/26/2010,6/1/2009,,,,,Corporation,Feb 22/10,Mar 11/10,,,,,,,,,,,,,,Mar 2/10,,,,0,,Professional,Corporation,General,A (1-5 employees),One,,,,,Mrs.,Sherri,,Chartrand,,Vice President,DESIGNATED VOTING REP.,sherrilhayes@yahoo.com,,,,N,,,Mrs.,Sherri,,Chartrand,,Vice President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,17,
Temporary Directory,Active Janitorial,Active Janitorial,Active Janitorial,1154,Active,Member,Janitorial Services,Org,,415,10751,,,Y,Janitorial Services,2377 Virginia Park Ave.,,,N9E 4Z4,Windsor,Ontario,Canada,(519) 977-5241,,(519) 977-0906,,N,,,http://www.activejanitorial.com,active1@cogeco.net,,,,2377 Virginia Park Ave.,,,N9E 4Z4,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,1/17/1992,1/1/1980,52432 - David Seeley,Sep-03,,,,,,,,,,,,,,,,,,,,,,,0,,Service sector,,General,A (1-5 employees),One,Group Benefits - Seeley,,,,Mr.,Yehia (John),,Chehade,,Owner,DESIGNATED VOTING REP.,active1@cogeco.net,John,,,N,,,Mr.,Yehia (John),,Chehade,,Owner,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,18,
Temporary Directory,Actuarial Solutions Inc.,Actuarial Solutions Inc.,Actuarial Solutions Inc.,3101,Active,Member,Pension Consultant (Actuary),Org,,3323,11750,"Our mission is to provide quality actuarial, consulting and pension administration services with the highest level of customer service.","Our mission is to provide quality actuarial, consulting and pension administration services with the highest level of customer service.",Y,Pension Consultant (Actuary),"1695 Manning Road, Suite 202",,,N8N 2L9,Tecumseh,Ontario,Canada,(519) 979-4600,,(519) 979-4699,,N,(866) 323-7200,,http://www.actuarialsolutionsinc.com,joe@actuarialsolutionsinc.com,,,,"1695 Manning Road, Suite 202",,,N8N 2L9,Tecumseh,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,10,6/9/2000,4/28/1998,,,,,,,N,N,N,N,,,,,,,,,,,,,,,0,,Professional,Corporation,General,B (6-15 employees),One,,,,,Mr.,Joseph,F.,Nunes,,President,DESIGNATED VOTING REP.,joe@actuarialsolutionsinc.com,Joseph,,,N,,,Mr.,Joseph,F.,Nunes,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,19,
Temporary Directory,Advance Business Systems (Windsor) Inc.,Advance Business Systems (Windsor) Inc.,Advance Business Systems (Windsor) Inc.,1193,Active,Member,Office Equipment,Org,,429,10754,,,Y,Office Equipment,3290 Jefferson Blvd.,,,N8T 2W8,Windsor,Ontario,Canada,(519) 945-7900,,(519) 945-4334,,N,,,http://www.advancebusiness.net,abs@advancebusiness.net,,,,3290 Jefferson Blvd.,,,N8T 2W8,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,47,4/16/1992,1/1/1984,,,,,,,,,,,,,,,,,,,,,,,,,0,,Retail - Trade,Corporation,General,C (16-50 employees),2,,,,,Mr.,Jack,,Jorgensen,,President,DESIGNATED VOTING REP.,abs@advancebusiness.net,Jack,,,N,,,Mr.,Jack,,Jorgensen,,President,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,20,
Temporary Directory,2083354 Ontario Ltd,Advanced Basement Systems,Advanced Basement Systems,5006,Active,Member,Waterproofing,Org,,5868,13569,,,Y,Waterproofing,23576 Prince Albert Rd.,,,N7M 5J7,Chatham,Ontario,Canada,(519) 351-3500,,(519) 351-3599,,Y,(866) 277-1277,,http://www.advancedbasementsystems.net,info@advancedbasementsystems.net,http://www.facebook.com/Basementy,,,23576 Prince Albert Rd.,,,N7M 5J7,Chatham,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,24,10/24/2007,1/1/2007,,,,,Corporation,Nov 26/07,Dec 18/07,8-Jan,,,,,,,,,,,,,,,,,0,,Service sector,Corporation,Associate,C (16-50 employees),,,,,,Mr.,Martin,,Bates,,Owner,DESIGNATED VOTING REP.,martin@advancedbasementsystems.net,,,,N,,,Mr.,Martin,,Bates,,Owner,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,21,
Temporary Directory,Advanced Commercial Dishmachine Service Inc.,Advanced Commercial Dishmachine Service Inc.,Advanced Commercial Dishmachine Service Inc.,5643,Active,Member,Restaurant Equipment Repairs,Org,,23010,17713,,,Y,,201 Shepherd Street East,,,N8X 2K6,Windsor,Ontario,Canada,(519) 564-5535,,(519) 258-3865,,N,,,http://www.dishwasherservice.ca,marcel@dishwasherservice.ca,,,,201 Shepherd Street East,,,N8X 2K6,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,10/21/2011,8/15/2011,,,,,,November 28 2011,,January/February 2012,,,"Directory, Marketing/Advertising",,,,,,,,,,November 29 2011,,,,0,,Service sector,Corporation,General,A (1-5 employees),One,,,,,Mr.,Marcel,,DiFranco,,President,DESIGNATED VOTING REP.,marcel@dishwasherservice.ca,Marcel,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,
Temporary Directory,Advanced Home Services,Advanced Home Services,Advanced Home Services,2773,Active,Member,Windows & Doors,Org,,2902,11565,,,Y,Windows & Doors,2895 Kew Drive,,,N8T 3B7,Windsor,Ontario,Canada,(519) 945-6454,,(519) 945-4212,,N,,,http://www.advancedhomeservices.ca,info@advancedhomeservices.ca,,,,2895 Kew Drive,,,N8T 3B7,Windsor,ON,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,3/8/1999,,89001 & 35136 - David Seeley,Apr-99,,,,,N,N,21791087,N,,,,,,,,,,,,,,,0,,Retail - Trade,,General,A (1-5 employees),One,"Group Benefits - Seeley, TD Merchant Services",,,,Mr.,Wayne,,Marchand,,Secretary,DESIGNATED VOTING REP.,info@advancedhomeservices.ca,Wayne,,,N,,,Mr.,Wayne,,Marchand,,Secretary,DESIGNATED VOTING REP.,,,,,,,,,,,,,,,,,,,,,,,,,,23,
